Date/time,Progress,Temperature,Humidity,Magx,Magy,Magz,Pitch,Roll,Yaw,Latitude,Longitude
2020-04-21 00:52:45.764639,54,33.6555,31.6875,-4.076103210449219,-15.361702919006348,22.032024383544922,339.2849532002474,311.3099309920536,88.95710092010891,"[7.0, 54.0, 52.3]","[125.0, 6.0, 22.2]"
2020-04-21 00:52:58.622570,55,33.752,31.6496,-3.954322576522827,-15.453742027282715,21.463254928588867,13.04851633379742,75.34447926276015,96.53590614391175,"[8.0, 34.0, 7.0]","[124.0, 37.0, 43.8]"
2020-04-21 00:53:11.479893,56,33.9894,31.7065,-3.96968412399292,-15.429292678833008,20.827144622802734,346.28313855685946,199.01802835754054,119.67171712703673,"[9.0, 13.0, 19.1]","[124.0, 8.0, 58.9]"
2020-04-21 00:53:24.486798,57,33.6036,31.7065,-4.022195339202881,-15.582002639770508,20.3922061920166,343.8035177796354,333.3462983773127,84.11058993036463,"[9.0, 52.0, 28.3]","[123.0, 40.0, 6.8]"
2020-04-21 00:53:37.377390,58,33.5257,31.8013,-4.13060188293457,-15.439620018005371,20.086029052734375,12.654409296045806,96.94152375796213,104.37599342422425,"[10.0, 31.0, 34.3]","[123.0, 11.0, 7.2]"
2020-04-21 00:53:50.187364,59,33.3587,31.7065,-3.9918105602264404,-15.326194763183594,19.72096061706543,340.54944490431205,220.21750120153442,117.42700277706872,"[11.0, 10.0, 37.0]","[122.0, 41.0, 59.4]"
2020-04-21 00:54:03.024392,60,33.4292,31.7065,-3.9720864295959473,-15.244250297546387,19.701704025268555,350.9607090863517,353.29540264089815,83.57869577893906,"[11.0, 49.0, 36.1]","[122.0, 12.0, 43.0]"
2020-04-21 00:54:15.947407,61,33.1287,31.7254,-3.8976094722747803,-15.550195693969727,19.392534255981445,10.486658371419146,117.87474899791974,112.77601961269438,"[12.0, 25.0, 31.9]","[121.0, 45.0, 33.5]"
2020-04-21 00:54:28.755526,62,33.7186,31.7634,-3.732316732406616,-15.615766525268555,18.81012535095215,335.8703640492396,242.0032501631255,113.11789107122104,"[13.0, 4.0, 23.5]","[121.0, 15.0, 58.7]"
2020-04-21 00:54:41.541564,63,33.3921,31.7824,-3.583533763885498,-15.498564720153809,18.1584529876709,357.9172830095493,12.353846821619396,84.9181983280161,"[13.0, 43.0, 10.8]","[120.0, 46.0, 13.7]"
2020-04-21 00:54:54.339327,64,33.7705,31.6875,-3.469846725463867,-15.394311904907227,17.674503326416016,7.537338291578035,137.82779428065632,119.14199497576722,"[14.0, 21.0, 53.7]","[120.0, 16.0, 17.8]"
2020-04-21 00:55:07.204624,65,33.4663,31.6875,-3.3480353355407715,-15.35381031036377,17.23161506652832,341.3895376816561,273.2304037653711,106.45207040358464,"[15.0, 0.0, 31.9]","[119.0, 46.0, 10.3]"
2020-04-21 00:55:20.003543,66,33.5442,31.6306,-3.32647442817688,-15.2439603805542,16.68182945251465,12.921247711445279,38.03714590288259,92.62293174954647,"[15.0, 39.0, 5.0]","[119.0, 15.0, 50.9]"
2020-04-21 00:55:32.826704,67,33.3699,31.7065,-3.2824840545654297,-15.362292289733887,16.3209285736084,4.382260043650759,167.3400171559059,127.41870892896195,"[16.0, 14.0, 35.6]","[118.0, 47.0, 40.2]"
2020-04-21 00:55:45.623238,68,33.5479,31.6685,-3.0229172706604004,-15.454412460327148,15.930014610290527,341.9283576449001,294.521155257433,99.94874676649202,"[16.0, 52.0, 58.5]","[118.0, 16.0, 55.9]"
2020-04-21 00:55:58.511577,69,33.5368,31.7634,-2.8788766860961914,-15.30772590637207,15.257467269897461,16.85198401274718,58.60671138086121,98.08510916088653,"[17.0, 31.0, 15.7]","[117.0, 45.0, 57.7]"
2020-04-21 00:56:11.335578,70,33.6407,31.6875,-2.5550310611724854,-15.30618667602539,14.806072235107422,357.3561959892809,186.74938302317517,127.33717013065034,"[18.0, 9.0, 26.9]","[117.0, 14.0, 45.2]"
2020-04-21 00:56:24.314525,71,33.5517,31.6685,-2.2420012950897217,-15.093104362487793,14.321016311645508,346.23824372344495,316.24745766758286,92.88475339100056,"[18.0, 47.0, 31.8]","[116.0, 43.0, 17.5]"
2020-04-21 00:56:37.147443,72,33.3736,31.6496,-2.1181278228759766,-15.17542552947998,14.017146110534668,19.157063574599768,81.24359753568427,103.77232764500017,"[19.0, 25.0, 30.1]","[116.0, 11.0, 34.2]"
2020-04-21 00:56:49.976923,73,33.4181,31.7634,-1.9264907836914062,-15.169241905212402,13.577210426330566,351.25388385741707,207.3293030679355,123.5191217053699,"[20.0, 0.0, 27.2]","[115.0, 42.0, 2.8]"
2020-04-21 00:57:02.821694,74,33.4441,31.7444,-1.7192296981811523,-15.125284194946289,13.086146354675293,352.13628197270657,336.6011123281609,89.21192844785293,"[20.0, 38.0, 12.1]","[115.0, 9.0, 47.4]"
2020-04-21 00:57:15.607861,75,33.663,31.7634,-1.6055794954299927,-15.203266143798828,12.914349555969238,19.557695150556032,103.10601537070876,111.44685113983157,"[21.0, 15.0, 49.7]","[114.0, 37.0, 14.5]"
2020-04-21 00:57:28.398163,76,33.8076,31.7254,-1.222733974456787,-15.049256324768066,12.833393096923828,346.250258026195,228.05058070775846,119.78571298428425,"[21.0, 53.0, 19.5]","[114.0, 4.0, 23.2]"
2020-04-21 00:57:41.237572,77,33.3921,31.7634,-0.9251749515533447,-14.989664077758789,12.746459007263184,359.9783094536302,356.36629155022905,87.6972178861867,"[22.0, 30.0, 41.4]","[113.0, 31.0, 12.9]"
2020-04-21 00:57:54.039631,78,33.9338,31.6685,-0.6722206473350525,-15.037787437438965,12.231636047363281,17.616181435581353,125.49613362100843,118.47695311666142,"[23.0, 7.0, 54.8]","[112.0, 57.0, 42.9]"
2020-04-21 00:58:06.879528,79,33.7965,31.6306,-0.5318896174430847,-14.95432186126709,11.865185737609863,342.60828760884925,249.58011561320404,113.71814175586009,"[23.0, 42.0, 8.8]","[112.0, 26.0, 29.4]"
2020-04-21 00:58:19.744036,80,33.1361,31.6116,-0.3243532180786133,-14.955068588256836,11.464377403259277,6.549041508302101,16.195833352393446,88.58015644019426,"[24.0, 19.0, 5.3]","[111.0, 52.0, 19.5]"
2020-04-21 00:58:32.537117,81,33.5108,31.7065,-0.19682396948337555,-14.929977416992188,10.984835624694824,12.061151871343192,146.41851935075323,123.90930309189604,"[24.0, 55.0, 52.4]","[111.0, 17.0, 47.7]"
2020-04-21 00:58:45.348455,82,33.4589,31.6875,-0.2291834056377411,-14.746795654296875,10.746891021728516,341.3578353586235,271.7443321868947,106.56604577026464,"[25.0, 32.0, 29.8]","[110.0, 42.0, 53.4]"
2020-04-21 00:58:58.143487,83,33.5442,31.6685,-0.1660955250263214,-14.770687103271484,10.642840385437012,12.101117869497877,37.31439577547935,92.26305591236766,"[26.0, 8.0, 57.1]","[110.0, 7.0, 35.7]"
2020-04-21 00:59:10.933308,84,33.9412,31.6116,-0.050905559211969376,-14.853950500488281,10.339195251464844,4.484428574576748,165.7140223220927,126.79111016688616,"[26.0, 42.0, 26.9]","[109.0, 34.0, 39.6]"
2020-04-21 00:59:23.770051,85,33.3439,31.6496,0.07351924479007721,-14.600836753845215,9.96277141571045,341.40478949407276,293.30874203824237,99.77032856499295,"[27.0, 18.0, 33.8]","[108.0, 58.0, 34.8]"
2020-04-21 00:59:36.548064,86,33.4404,31.7065,0.31097283959388733,-14.4714994430542,9.699943542480469,16.324249446526146,57.144852822992554,96.69244724949927,"[27.0, 54.0, 29.5]","[108.0, 22.0, 4.4]"
2020-04-21 00:59:49.378889,87,33.6036,31.6875,0.5099508166313171,-14.240297317504883,9.424976348876953,357.7166462026802,185.24283453756712,126.24357488226126,"[28.0, 30.0, 13.6]","[107.0, 45.0, 7.6]"
2020-04-21 01:00:02.242753,88,33.4589,31.6306,0.7113959193229675,-14.222201347351074,8.986441612243652,345.9127459359061,314.63920766523336,93.05598623349279,"[29.0, 5.0, 45.5]","[107.0, 7.0, 43.5]"
2020-04-21 01:00:15.233244,89,33.6889,31.7065,0.9893264174461365,-14.14633846282959,8.723220825195312,19.516896723096256,79.7053706327057,103.37780908835107,"[29.0, 41.0, 5.1]","[106.0, 29.0, 51.2]"
